block_fips,nbrhood_id,nbrhood_name
60750105002019,66,Potrero Hill
60750601001175,56,Oceanview
60750262005011,7,Central Sunset
60750326011014,34,Inner Sunset
60750302021002,34,Inner Sunset
60750302023003,21,Forest Knolls
60750301021014,21,Forest Knolls
60750301021008,77,Twin Peaks
60750204012006,15,Eureka Valley / Dolores Heights
60750204022003,77,Twin Peaks
60750204021007,5,Buena Vista Park/Ashbury Heights
60750167002002,77,Twin Peaks
60750301023013,14,Duboce Triangle
60750203003005,73,South of Market
60750177001018,47,Miraloma Park
60750207001007,47,Miraloma Park
60750203002006,47,Miraloma Park
60750202003003,47,Miraloma Park
60750202001012,7,Central Sunset
60750326011006,34,Inner Sunset
60750302011009,61,Pacific Heights
60750330002005,32,Inner Parkside
60750304005005,74,Stonestown
60750332041012,74,Stonestown
60750332041014,42,Marina
60750313012006,29,Ingleside Heights
60750313022013,29,Ingleside Heights
60750313023022,66,Potrero Hill
60750601001052,66,Potrero Hill
60750601001053,11,Crocker Amazon
60750263032018,66,Potrero Hill
60750601001102,33,Inner Richmond
60750402001006,33,Inner Richmond
60750170002002,9,Corona Heights
60750215002003,51,Mount Davidson Manor
60750215002004,51,Mount Davidson Manor
60750215003003,51,Mount Davidson Manor
60750218001003,22,Glen Park
60750218001002,22,Glen Park
60750253002003,4,Bernal Heights
60750253001005,4,Bernal Heights
60750254011001,4,Bernal Heights
60750254031004,4,Bernal Heights
60750254011004,4,Bernal Heights
60750309002003,50,Mission Terrace
60750309003014,30,Ingleside Terrace
60750309003022,30,Ingleside Terrace
60750313011003,42,Marina
60750309003021,30,Ingleside Terrace
60750309003007,30,Ingleside Terrace
60750264012004,79,Visitacion Valley
60750264032002,79,Visitacion Valley
60750257021002,64,Pine Lake Park
60750258001002,64,Pine Lake Park
60750260021008,16,Excelsior
60750260011011,16,Excelsior
60750260022000,16,Excelsior
60750256004010,64,Pine Lake Park
60750256003005,64,Pine Lake Park
60750260031004,16,Excelsior
60750260022011,16,Excelsior
60750260032008,16,Excelsior
60750263023008,11,Crocker Amazon
60750605023001,79,Visitacion Valley
60750605023005,79,Visitacion Valley
60750124022005,86,Tenderloin
60750179021021,,
60750305001003,44,Merced Manor
60750305002003,44,Merced Manor
60750313023024,29,Ingleside Heights
60750263031011,11,Crocker Amazon
60750261002021,48,Mission Bay
60750124012000,86,Tenderloin
60750131021006,73,South of Market
60750201001002,86,Tenderloin
60750123011005,73,South of Market
60750178021013,73,South of Market
60750178022012,50,Mission Terrace
60750309003010,17,Financial District/Barbary Coast
60750117002007,72,Silver Terrace
60750607001012,31,Inner Mission
60750209004003,71,Sea Cliff
60750230011029,3,Bayview
60750231021008,,
60750179021012,6,Central Richmond
60750477022003,6,Central Richmond
60750426021003,6,Central Richmond
60750476001005,6,Central Richmond
60750476002004,6,Central Richmond
60750476002003,33,Inner Richmond
60750476001002,6,Central Richmond
60750476003004,6,Central Richmond
60750476003001,6,Central Richmond
60750476004002,33,Inner Richmond
60750452003002,24,Golden Gate Park
60750152001001,7,Central Sunset
60750152001003,34,Inner Sunset
60759803001037,31,Inner Mission
60750326022005,51,Mount Davidson Manor
60750326012007,4,Bernal Heights
60750251001018,3,Bayview
60750210004006,64,Pine Lake Park
60750251002008,41,Lower Pacific Heights
60750612001026,10,Cow Hollow
60750257012014,10,Cow Hollow
60750129023003,10,Cow Hollow
60750129023007,10,Cow Hollow
60750129023011,68,Presidio Heights
60750129021001,68,Presidio Heights
60750130001002,68,Presidio Heights
60750102001015,68,Presidio Heights
60750102002005,60,Outer Sunset
60750102002009,60,Outer Sunset
60750102001019,40,Lone Mountain
60750135002000,60,Outer Sunset
60750131022004,40,Lone Mountain
60750152002002,60,Outer Sunset
60750135002007,40,Lone Mountain
60750155001002,40,Lone Mountain
60750131011005,60,Outer Sunset
60750110002003,91,Nob Hill
60750110001005,91,Nob Hill
60750211003003,51,Mount Davidson Manor
60750206002007,15,Eureka Valley / Dolores Heights
60750211002002,51,Mount Davidson Manor
60750211003004,51,Mount Davidson Manor
60750214002007,51,Mount Davidson Manor
60750214001004,51,Mount Davidson Manor
60750207003003,15,Eureka Valley / Dolores Heights
60750226001010,,
60750176014002,73,South of Market
60750159001003,81,Western Addition
60750178021019,73,South of Market
60750180002032,73,South of Market
60750177002045,31,Inner Mission
60750615002017,18,Yerba Buena
60750253001002,4,Bernal Heights
60750254032007,4,Bernal Heights
60750230011019,3,Bayview
60750309003006,50,Mission Terrace
60750179021047,,
60750476001013,6,Central Richmond
60750477022000,6,Central Richmond
60750476003006,6,Central Richmond
60750476004005,6,Central Richmond
60750402002003,33,Inner Richmond
60750452004002,33,Inner Richmond
60750452003000,33,Inner Richmond
60750326013004,7,Central Sunset
60759803001038,24,Golden Gate Park
60750155002002,40,Lone Mountain
60750155002009,40,Lone Mountain
60750126022000,41,Lower Pacific Heights
60750129012002,41,Lower Pacific Heights
60750129021005,10,Cow Hollow
60750129022006,10,Cow Hollow
60750130002002,10,Cow Hollow
60750212002003,51,Mount Davidson Manor
60750206003003,15,Eureka Valley / Dolores Heights
60750211003002,51,Mount Davidson Manor
60750216001008,51,Mount Davidson Manor
60750217002004,22,Glen Park
60750216001009,51,Mount Davidson Manor
60750217001014,12,Diamond Heights
60750307002006,22,Glen Park
60750217003014,22,Glen Park
60750217003013,22,Glen Park
60750311001020,22,Glen Park
60750218004005,22,Glen Park
60750211001002,15,Eureka Valley / Dolores Heights
60750226001024,87,Central Waterfront/Dogpatch
60750226001004,87,Central Waterfront/Dogpatch
60750226001020,87,Central Waterfront/Dogpatch
60750226001021,87,Central Waterfront/Dogpatch
60750226001001,,
60750262003004,56,Oceanview
60759803001059,24,Golden Gate Park
60759803001058,34,Inner Sunset
60759803001045,24,Golden Gate Park
60759803001070,34,Inner Sunset
60750204011013,15,Eureka Valley / Dolores Heights
60750204012005,8,Clarendon Heights
60750203003008,15,Eureka Valley / Dolores Heights
60750180002037,73,South of Market
60750177002022,73,South of Market
60750207002004,47,Miraloma Park
60750210001003,51,Mount Davidson Manor
60750207001004,47,Miraloma Park
60750206001012,47,Miraloma Park
60750203001005,47,Miraloma Park
60750201001021,73,South of Market
60750203001001,47,Miraloma Park
60750177001005,73,South of Market
60750614001009,31,Inner Mission
60750228022004,31,Inner Mission
60750177001024,65,Portola
60759809001014,65,Portola
60750607001067,46,South Beach
60750607001050,46,South Beach
60759809001032,87,Central Waterfront/Dogpatch
60750226002024,87,Central Waterfront/Dogpatch
60750479012005,84,Lincoln Park
60750428002007,70,Saint Francis Wood
60750479022009,58,Outer Parkside
60750479023006,58,Outer Parkside
60750478023009,58,Outer Parkside
60759806001054,27,Hunters Point
60750610001029,88,Candlestick Point
60750231032018,27,Hunters Point
60750330004019,57,Outer Mission
60750329011009,57,Outer Mission
60750331004025,63,Cole Valley/Parnassus Heights
60750154002003,40,Lone Mountain
60750132002003,60,Outer Sunset
60750130004003,10,Cow Hollow
60750153002000,40,Lone Mountain
60750152003001,40,Lone Mountain
60750155002008,40,Lone Mountain
60750102003005,68,Presidio Heights
60750129022000,41,Lower Pacific Heights
60750129022001,41,Lower Pacific Heights
60750129022004,41,Lower Pacific Heights
60750216002014,51,Mount Davidson Manor
60750212002006,51,Mount Davidson Manor
60750212002001,51,Mount Davidson Manor
60750213001005,51,Mount Davidson Manor
60750213001004,51,Mount Davidson Manor
60750214003005,51,Mount Davidson Manor
60750216001003,51,Mount Davidson Manor
60750214003006,51,Mount Davidson Manor
60750216002015,51,Mount Davidson Manor
60750216002009,12,Diamond Heights
60750217003003,22,Glen Park
60750217002014,22,Glen Park
60750218004011,22,Glen Park
60750105002002,72,Silver Terrace
60750105001020,54,North Panhandle
60750231032003,27,Hunters Point
60750179021075,,
60759806001004,,
60750614003007,31,Inner Mission
60750180002023,73,South of Market
60750601001022,66,Potrero Hill
60750601001097,66,Potrero Hill
60759804011001,,
60750326021000,7,Central Sunset
60750303014004,23,Golden Gate Heights
60759803001040,24,Golden Gate Park
60750170003002,5,Buena Vista Park/Ashbury Heights
60750204013006,9,Corona Heights
60750206002002,15,Eureka Valley / Dolores Heights
60750167002004,5,Buena Vista Park/Ashbury Heights
60750177001030,31,Inner Mission
60750206002006,15,Eureka Valley / Dolores Heights
60750206001010,47,Miraloma Park
60750207002009,15,Eureka Valley / Dolores Heights
60750203002000,47,Miraloma Park
60750203001000,47,Miraloma Park
60750177002033,31,Inner Mission
60750177001034,31,Inner Mission
60750230011030,71,Sea Cliff
60759809001067,3,Bayview
60759809001078,3,Bayview
60759809001097,3,Bayview
60750615005004,72,Silver Terrace
60750615005005,72,Silver Terrace
60750615005007,72,Silver Terrace
60750607003001,72,Silver Terrace
60750607003000,72,Silver Terrace
60750180001013,72,Silver Terrace
60750226001013,87,Central Waterfront/Dogpatch
60750232001014,3,Bayview
60750234001001,3,Bayview
60750258002029,79,Visitacion Valley
60750610002027,90,Little Hollywood
60750264022006,89,Bayview Heights
60750258002027,79,Visitacion Valley
60750233001003,3,Bayview
60750232002008,3,Bayview
60750259002012,59,Outer Richmond
60750352012002,57,Outer Mission
60750354005011,57,Outer Mission
60750604001037,61,Pacific Heights
60750329023009,37,Monterey Heights
60750331004002,10,Cow Hollow
60750128002007,60,Outer Sunset
60750132003009,7,Central Sunset
60750327007007,7,Central Sunset
60750327003005,7,Central Sunset
60750327003002,7,Central Sunset
60750327002001,78,Van Ness/Civic Center
60750151002003,78,Van Ness/Civic Center
60750124022019,78,Van Ness/Civic Center
60750124022007,73,South of Market
60750176013000,73,South of Market
60750202001000,18,Yerba Buena
60750615001033,18,Yerba Buena
60750180001017,18,Yerba Buena
60750180001003,18,Yerba Buena
60750615005015,26,Hayes Valley
60750161002002,85,Sherwood Forest
60750308002001,49,Mission Dolores
60750259002002,45,Midtown Terrace
60750309001007,21,Forest Knolls
60750307003018,8,Clarendon Heights
60750301022010,44,Merced Manor
60750301023010,12,Diamond Heights
60750204021003,20,Forest Hills Extension
60750216002007,45,Midtown Terrace
60750306001002,37,Monterey Heights
60750307001005,63,Cole Valley/Parnassus Heights
